#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Gesprchsphasen|Abschlussphase|Anfangsphase|Argumentationsphase|Beschlussphase|Informationsphase|Kommentar|Sonstiges
#T_SP=webanno.custom.Gesprchstechniken|Kommentar|Paraphrasieren|Strukturieren|Verbalisieren


#Text=E: Sehr geehrte Frau Kreis, ich hoffe Ihnen geht es gut.
4-1	209-212	Mit	*[4]	Sonstiges[4]	*[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
4-2	213-225	freundlichen	*[4]	Sonstiges[4]	*[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
4-3	226-232	Grüßen	*[4]	Sonstiges[4]	*[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
4-4	232-233	,	*[4]	Sonstiges[4]	*[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
4-5	234-238	Jana	*[4]	Sonstiges[4]	*[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	
4-6	239-243	Grün	*[4]	Sonstiges[4]	*[4]	*[4]	*[4]	*[4]	*[4]	_	_	_	_	

#Text=L: Sehr geehrte Frau Grün, vielen Dank, dass Sie sich Zeit genommen haben, um mit mir über Samara zu sprechen.
5-1	244-245	L	_	_	_	_	_	_	_	_	_	_	_	
5-2	245-246	:	_	_	_	_	_	_	_	_	_	_	_	
5-3	247-251	Sehr	*[5]	Begrüßung[5]	*[5]	*[5]	*[5]	*[5]	*[5]	*[33]	*[33]	*[33]	Statement[33]	
5-4	252-259	geehrte	*[5]	Begrüßung[5]	*[5]	*[5]	*[5]	*[5]	*[5]	*[33]	*[33]	*[33]	Statement[33]	
5-5	260-264	Frau	*[5]	Begrüßung[5]	*[5]	*[5]	*[5]	*[5]	*[5]	*[33]	*[33]	*[33]	Statement[33]	
5-6	265-269	Grün	*[5]	Begrüßung[5]	*[5]	*[5]	*[5]	*[5]	*[5]	*[33]	*[33]	*[33]	Statement[33]	
5-7	269-270	,	*[5]	Begrüßung[5]	*[5]	*[5]	*[5]	*[5]	*[5]	*[33]	*[33]	*[33]	Statement[33]	
5-8	271-277	vielen	*[5]	Begrüßung[5]	*[5]	*[5]	*[5]	*[5]	*[5]	*[33]	*[33]	*[33]	Statement[33]	
5-9	278-282	Dank	*[5]	Begrüßung[5]	*[5]	*[5]	*[5]	*[5]	*[5]	*[33]	*[33]	*[33]	Statement[33]	
5-10	282-283	,	*[5]	Begrüßung[5]	*[5]	*[5]	*[5]	*[5]	*[5]	*[33]	*[33]	*[33]	Statement[33]	
5-11	284-288	dass	*[5]	Begrüßung[5]	*[5]	*[5]	*[5]	*[5]	*[5]	*[33]	*[33]	*[33]	Statement[33]	
5-12	289-292	Sie	*[5]	Begrüßung[5]	*[5]	*[5]	*[5]	*[5]	*[5]	*[33]	*[33]	*[33]	Statement[33]	
5-13	293-297	sich	*[5]	Begrüßung[5]	*[5]	*[5]	*[5]	*[5]	*[5]	*[33]	*[33]	*[33]	Statement[33]	
5-14	298-302	Zeit	*[5]	Begrüßung[5]	*[5]	*[5]	*[5]	*[5]	*[5]	*[33]	*[33]	*[33]	Statement[33]	
5-15	303-311	genommen	*[5]	Begrüßung[5]	*[5]	*[5]	*[5]	*[5]	*[5]	*[33]	*[33]	*[33]	Statement[33]	
5-16	312-317	haben	*[5]	Begrüßung[5]	*[5]	*[5]	*[5]	*[5]	*[5]	*[33]	*[33]	*[33]	Statement[33]	
5-17	317-318	,	*[5]	Begrüßung[5]	*[5]	*[5]	*[5]	*[5]	*[5]	*[33]	*[33]	*[33]	Statement[33]	
5-18	319-321	um	*[5]	Begrüßung[5]	*[5]	*[5]	*[5]	*[5]	*[5]	*[33]	*[33]	*[33]	Statement[33]	
5-19	322-325	mit	*[5]	Begrüßung[5]	*[5]	*[5]	*[5]	*[5]	*[5]	*[33]	*[33]	*[33]	Statement[33]	
5-20	326-329	mir	*[5]	Begrüßung[5]	*[5]	*[5]	*[5]	*[5]	*[5]	*[33]	*[33]	*[33]	Statement[33]	
5-21	330-334	über	*[5]	Begrüßung[5]	*[5]	*[5]	*[5]	*[5]	*[5]	*[33]	*[33]	*[33]	Statement[33]	
5-22	335-341	Samara	*[5]	Begrüßung[5]	*[5]	*[5]	*[5]	*[5]	*[5]	*[33]	*[33]	*[33]	Statement[33]	
5-23	342-344	zu	*[5]	Begrüßung[5]	*[5]	*[5]	*[5]	*[5]	*[5]	*[33]	*[33]	*[33]	Statement[33]	
5-24	345-353	sprechen	*[5]	Begrüßung[5]	*[5]	*[5]	*[5]	*[5]	*[5]	*[33]	*[33]	*[33]	Statement[33]	
5-25	353-354	.	*[5]	Begrüßung[5]	*[5]	*[5]	*[5]	*[5]	*[5]	*[33]	*[33]	*[33]	Statement[33]	

#Text=Sie haben Recht, ich möchte gern über die Leistungen ihrer Tochter im Fach Englisch reden.
6-1	355-358	Sie	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[34]	*[34]	Strukturieren[34]	*[34]	
6-2	359-364	haben	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[34]	*[34]	Strukturieren[34]	*[34]	
6-3	365-370	Recht	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[34]	*[34]	Strukturieren[34]	*[34]	
6-4	370-371	,	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[34]	*[34]	Strukturieren[34]	*[34]	
6-5	372-375	ich	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[34]	*[34]	Strukturieren[34]	*[34]	
6-6	376-382	möchte	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[34]	*[34]	Strukturieren[34]	*[34]	
6-7	383-387	gern	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[34]	*[34]	Strukturieren[34]	*[34]	
6-8	388-392	über	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[34]	*[34]	Strukturieren[34]	*[34]	
6-9	393-396	die	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[34]	*[34]	Strukturieren[34]	*[34]	
6-10	397-407	Leistungen	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[34]	*[34]	Strukturieren[34]	*[34]	
6-11	408-413	ihrer	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[34]	*[34]	Strukturieren[34]	*[34]	
6-12	414-421	Tochter	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[34]	*[34]	Strukturieren[34]	*[34]	
6-13	422-424	im	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[34]	*[34]	Strukturieren[34]	*[34]	
6-14	425-429	Fach	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[34]	*[34]	Strukturieren[34]	*[34]	
6-15	430-438	Englisch	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[34]	*[34]	Strukturieren[34]	*[34]	
6-16	439-444	reden	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[34]	*[34]	Strukturieren[34]	*[34]	
6-17	444-445	.	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[34]	*[34]	Strukturieren[34]	*[34]	

#Text=Leider ist mir aufgefallen, dass die schriftlichen Arbeiten ihrer Tochter zunehmend schlechter ausfallen und auch die mündlichen Leistungen gehen stark zurück.
7-1	446-452	Leider	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[35]	*[35]	*[35]	Statement[35]	
7-2	453-456	ist	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[35]	*[35]	*[35]	Statement[35]	
7-3	457-460	mir	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[35]	*[35]	*[35]	Statement[35]	
7-4	461-472	aufgefallen	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[35]	*[35]	*[35]	Statement[35]	
7-5	472-473	,	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[35]	*[35]	*[35]	Statement[35]	
7-6	474-478	dass	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[35]	*[35]	*[35]	Statement[35]	
7-7	479-482	die	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[35]	*[35]	*[35]	Statement[35]	
7-8	483-496	schriftlichen	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[35]	*[35]	*[35]	Statement[35]	
7-9	497-505	Arbeiten	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[35]	*[35]	*[35]	Statement[35]	
7-10	506-511	ihrer	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[35]	*[35]	*[35]	Statement[35]	
7-11	512-519	Tochter	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[35]	*[35]	*[35]	Statement[35]	
7-12	520-529	zunehmend	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[35]	*[35]	*[35]	Statement[35]	
7-13	530-540	schlechter	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[35]	*[35]	*[35]	Statement[35]	
7-14	541-550	ausfallen	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[35]	*[35]	*[35]	Statement[35]	
7-15	551-554	und	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[35]	*[35]	*[35]	Statement[35]	
7-16	555-559	auch	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[35]	*[35]	*[35]	Statement[35]	
7-17	560-563	die	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[35]	*[35]	*[35]	Statement[35]	
7-18	564-574	mündlichen	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[35]	*[35]	*[35]	Statement[35]	
7-19	575-585	Leistungen	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[35]	*[35]	*[35]	Statement[35]	
7-20	586-591	gehen	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[35]	*[35]	*[35]	Statement[35]	
7-21	592-597	stark	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[35]	*[35]	*[35]	Statement[35]	
7-22	598-604	zurück	*[6]	Inhaltlicher Rahmen[6]	*[6]	*[6]	*[6]	*[6]	*[6]	*[35]	*[35]	*[35]	Statement[35]	
7-23	604-605	.	_	_	_	_	_	_	_	*[35]	*[35]	*[35]	Statement[35]	

#Text=Ist Ihnen das auch aufgefallen?
8-1	606-609	Ist	*[7]	Inhaltlicher Rahmen[7]	*[7]	*[7]	*[7]	*[7]	*[7]	*[36]	*[36]	Strukturieren[36]	*[36]	
8-2	610-615	Ihnen	*[7]	Inhaltlicher Rahmen[7]	*[7]	*[7]	*[7]	*[7]	*[7]	*[36]	*[36]	Strukturieren[36]	*[36]	
8-3	616-619	das	*[7]	Inhaltlicher Rahmen[7]	*[7]	*[7]	*[7]	*[7]	*[7]	*[36]	*[36]	Strukturieren[36]	*[36]	
8-4	620-624	auch	*[7]	Inhaltlicher Rahmen[7]	*[7]	*[7]	*[7]	*[7]	*[7]	*[36]	*[36]	Strukturieren[36]	*[36]	
8-5	625-636	aufgefallen	*[7]	Inhaltlicher Rahmen[7]	*[7]	*[7]	*[7]	*[7]	*[7]	*[36]	*[36]	Strukturieren[36]	*[36]	
8-6	636-637	?	*[7]	Inhaltlicher Rahmen[7]	*[7]	*[7]	*[7]	*[7]	*[7]	*[36]	*[36]	Strukturieren[36]	*[36]	

#Text=E: Vielen Dank für Ihr Feedback!
9-1	638-639	E	_	_	_	_	_	_	_	_	_	_	_	
9-2	639-640	:	_	_	_	_	_	_	_	_	_	_	_	
9-3	641-647	Vielen	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
9-4	648-652	Dank	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
9-5	653-656	für	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
9-6	657-660	Ihr	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
9-7	661-669	Feedback	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
9-8	669-670	!	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	

#Text=Auch mir ist bereits aufgefallen, dass Samaras Leistungen im Englischunterricht seit diesem Jahr abgefallen sind.
10-1	671-675	Auch	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
10-2	676-679	mir	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
10-3	680-683	ist	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
10-4	684-691	bereits	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
10-5	692-703	aufgefallen	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
10-6	703-704	,	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
10-7	705-709	dass	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
10-8	710-717	Samaras	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
10-9	718-728	Leistungen	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
10-10	729-731	im	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
10-11	732-750	Englischunterricht	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
10-12	751-755	seit	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
10-13	756-762	diesem	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
10-14	763-767	Jahr	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
10-15	768-778	abgefallen	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
10-16	779-783	sind	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
10-17	783-784	.	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	

#Text=Letztes Jahr war sie sehr motiviert und hatte sehr gute Noten im Englischunterricht.
11-1	785-792	Letztes	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
11-2	793-797	Jahr	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
11-3	798-801	war	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
11-4	802-805	sie	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
11-5	806-810	sehr	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
11-6	811-820	motiviert	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
11-7	821-824	und	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
11-8	825-830	hatte	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
11-9	831-835	sehr	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
11-10	836-840	gute	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
11-11	841-846	Noten	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
11-12	847-849	im	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
11-13	850-868	Englischunterricht	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
11-14	868-869	.	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	

#Text=Kann es sein, dass das daran liegt das die Anforderungen in dieser Jahrgangsstufe enorm gestiegen sind?
12-1	870-874	Kann	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
12-2	875-877	es	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
12-3	878-882	sein	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
12-4	882-883	,	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
12-5	884-888	dass	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
12-6	889-892	das	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
12-7	893-898	daran	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
12-8	899-904	liegt	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
12-9	905-908	das	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
12-10	909-912	die	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
12-11	913-926	Anforderungen	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
12-12	927-929	in	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
12-13	930-936	dieser	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
12-14	937-951	Jahrgangsstufe	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
12-15	952-957	enorm	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
12-16	958-967	gestiegen	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
12-17	968-972	sind	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
12-18	972-973	?	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	

#Text=L: Ihnen sind die abfallenden Leistungen ebenfalls aufgefallen.
13-1	974-975	L	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
13-2	975-976	:	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	_	_	_	_	
13-3	977-982	Ihnen	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[37]	Paraphrasieren[37]	*[37]	*[37]	
13-4	983-987	sind	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[37]	Paraphrasieren[37]	*[37]	*[37]	
13-5	988-991	die	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[37]	Paraphrasieren[37]	*[37]	*[37]	
13-6	992-1003	abfallenden	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[37]	Paraphrasieren[37]	*[37]	*[37]	
13-7	1004-1014	Leistungen	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[37]	Paraphrasieren[37]	*[37]	*[37]	
13-8	1015-1024	ebenfalls	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[37]	Paraphrasieren[37]	*[37]	*[37]	
13-9	1025-1036	aufgefallen	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[37]	Paraphrasieren[37]	*[37]	*[37]	
13-10	1036-1037	.	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[37]	Paraphrasieren[37]	*[37]	*[37]	

#Text=Die Ursachen dafür können vielfältig sein.
14-1	1038-1041	Die	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[38]	*[38]	Strukturieren[38]	*[38]	
14-2	1042-1050	Ursachen	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[38]	*[38]	Strukturieren[38]	*[38]	
14-3	1051-1056	dafür	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[38]	*[38]	Strukturieren[38]	*[38]	
14-4	1057-1063	können	*[8]	*[8]	Argumentationsphase[8]	*[8]	*[8]	*[8]	*[8]	*[38]	*[38]	Strukturieren[38]	*[38]	
